ordcan,name_cz,uid,url,image,fullname,role,age,description
1,tibor.vansa,tibor.vansa,tibor-vansa,tibor-vansa.jpg,Mgr. Tibor Vansa,"Předseda Pirátů na Praze 4, kandidát na starostu. Ve straně působí 2 roky, je odborným garantem celostátního programového bodu finance.",34,analytik finančních rizik v bankovnictví
2,jan.hora,honza.hora,jan-hora,jan-hora.jpg,Ing. Jan Hora,"Místopředseda Pirátů na Praze 4. Doprava ve městě vyžaduje skloubit dohromady zájmy rodin a firem, automobilistů, cyklistů a pěších, ekologie a potřeb lidí. Já nejsem fanatik a uvědomuji si, že každá forma dopravy má ve městě své místo a je potřeba hledat rovnováhu, která bude městu pomáhat a nebude ho ničit. ",34,programátor a analytik
3,petra.rejchrtová,petra.rejchrtova,petra-rejchrtova,petra-rejchrtova.jpg,Mgr. Petra Rejchrtová,"Nezávislá kandidátka. Komunální politička s 8 letou praxí neuvolněné zastupitelky. Usiluje o regulační plány pro stanice metra D i další rozvojové plochy, prosazuje nezastavitelnost důležitých zelených ploch včetně izolační zeleně kolem velkých komunikací.",48,učitelka
4,marek.paris,marek.paris,marek-paris,marek-paris.jpg,M.A. Marek Paris,"Člen Pirátů. Působí v technologickém start-upu vyvíjejícím datové produkty pro zdravotnictví a farmacii. Sní o tom, že komunikace se státem bude pro občana jednou stejně tak uživatelsky komfortní a bezstarostná, jako jsou dnes běžné u webových aplikací.
",26,analytik ve zdravotnictví
5,josef.vlach,josef.vlach,josef-vlach,josef-vlach.jpg, Josef Vlach,"Člen Pirátů a věčný optimista. Má 18 letou praxi ve vedení IT společnosti, která se v rámci oboru  se zaměřuji na Marketing, Projektové řízení, Lidské zdroje a Bezpečnost (prevence proti kyberšikaně, prevence proti šíření nevhodného obsahu na internetu, problematika soc. sítí – role dětí a rodičů).",39,projektový manažer
6,matej.šandor,matej.sandor,matej-sandor,matej-sandor.jpg,JUDr. Matej Šandor PhD.,"Člen Pirátů. Nejprve působil jako manažer v oblasti nákupu a veřejných zakázek, později zodpovídal za řízení stamiliónových zakázek i v komerční sféře. Aktuálně se věnuje právnické profesi, na celorepublikové úrovni se zajímá o mezinárodní politiku a vztahy s EU. 
",33,"právník, manažer"
7,marie.jelínková,marie.jelinkova,marie-jelinkova,marie-jelinkova.jpg,Ing. Marie Jelínková,"Nezávislá kandidátka. Stojí za ní dlouholetá bezplatná pomoc občanům a spolkům (nejen v Praze) při obraně jejich domova, práva na ochranu zdraví a zdravého životního prostředí.  ",52,daňový poradce
8,vladimíra.sýkorová,vladka.sykorova,vladka-sykorova,vladka-sykorova.jpg,Bc. Vladimíra Sýkorová,"Členka Pirátů. Pracuje ve státní správě od roku 2004, poslední bezmála tři roky vede sporná správní řízení. Jako svobodná matka dvou dcer dobře ví, jaké je to mít hluboko do kapsy, ráda by se zaměřila na rozšířením bezplatné právní poradny pro lidi v dluhové pasti. Má nedostudované Mgr. studium na Metropolitní univerzitě – Právní specializaci ve veřejné správě.
",55,státní zaměstnanec
9,adam.jaroš,adam.jaros,adam-jaros,adam-jaros.jpg,Mgr. Adam Jaroš,"Člen Pirátů. Asistent výzkumu na Ústavu organické chemie a biochemie AV, kde zároveň pracuje na své dizertaci. Příležitostný lektor a popularizátor v oblasti chemie, podílel se například na organizování poslední mezinárdní olympiády v chemii. Mezi jeho koníčky patří především hudba, je aktivní muzikant a vášnivý posluchač, věda a technika, četba, zejména antiutopií, sci-fi a fantasy
",25,vědecký pracovník v oboru chemie
10,viktor.derka,viktor.derka,viktor-derka,viktor-derka.jpg,Mgr. Viktor Derka,"Člen Pirátů. Právník specializující se na právo na informace, problematiku správního a ústavního práva. Na Praze nám pomáhá v sisyfofském boji získávat materiály o činnosti radnice.
",25,právník
11,ivana.wurmová,ivana.wurmova,ivana-wurmova,ivana-wurmova.jpg,Ing. Ivana Wurmová,Příznivec ,61,ekonomka
12,vladimír.hrouda,vladimir.hrouda,vladimir-hrouda,vladimir-hrouda.jpg, Vladimír Hrouda,Nezávislý kandidát,45,příjmací technik
13,alexandr.mansurov,alexandr.mansurov,alexandr-mansurov,alexandr-mansurov.jpg,Bc. Alexandr Mansurov,Člen Pirátů,24,asistent poslance
14,miloslav.bím,miloslav.bim,miloslav-bim,miloslav-bim.jpg, Miloslav Bím,Člen Pirátů,24,manažer zákaznického servisu
15,marie.kurková,marie.kurkova,marie-kurkova,marie-kurkova.jpg,Mgr. Marie Kurková,Členka Pirátů,74,advokátka
16,josef.kadleček,josef.kadlecek,josef-kadlecek,josef-kadlecek.jpg, Josef Kadleček,Člen Pirátů,55,živnostník
