Season	CELKEM_PS	PS_ZPS	KOD_ZSJ	DYWIN	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs	NAZ_ZSJ	Obyv_total
P01-202001	1047	979	126993	D	31	10	8	2	4	26	0	9	3	0	2	2	9	22	22	544	761	71	78	Betlémský obvod	4100
P01-202001	400	389	127001	D	32	8	8	1	2	20	0	11	9	0	1	0	7	19	28	205	279	74	72	Josefov	1460
P01-202001	1166	1112	127019	D	35	9	8	1	4	27	0	10	5	0	1	1	9	20	21	652	874	75	79	Haštalský obvod	2685
P01-202001	366	341	127027	D	22	12	10	1	2	21	0	12	3	0	1	1	7	31	22	163	267	61	78	Jakubský obvod	2593
P01-202001	1069	998	127035	D	33	8	7	1	6	30	0	7	2	0	1	1	7	23	23	542	767	71	77	Petrský obvod	4234
P01-202001	44	44	127043	D	6	3	2	1	25	5	0	5	0	0	1	0	0	28	32	17	30	58	68	Masarykovo nádraží	76
P01-202001	1223	1163	127051	D	17	7	10	2	10	14	0	11	3	0	2	2	3	24	29	549	831	66	71	Jindøišský obvod	3035
P01-202001	18	14	127060	D	1	1	5	1	0	4	0	2	1	0	0	1	0	36	56	1	6	19	44	Smetanovo divadlo	0
P01-202001	1028	913	127078	D	35	12	10	1	6	36	0	8	2	0	1	1	10	23	12	593	802	74	88	Vodièkova	5060
P01-202001	548	510	127086	D	42	9	10	2	4	41	0	7	1	0	1	0	11	18	15	340	434	78	85	Vojtìšský obvod	2853
P01-202001	360	305	127094	D	44	9	10	2	2	37	0	7	2	0	1	3	13	19	15	202	260	78	85	Horní malostranský obvod	2006
P01-202001	23	21	127116	D	0	0	3	3	8	4	0	1	0	0	0	0	0	21	66	3	7	39	34	Strahovská zahrada	20
P01-202001	278	264	127124	D	23	5	4	10	4	22	0	4	1	0	1	6	7	11	44	119	148	81	56	Pohoøelec	747
P01-202001	93	91	127132	D	18	2	13	3	1	22	0	6	1	0	1	0	6	13	51	33	45	75	49	Hrad	138
P01-202001	709	621	127141	D	35	11	11	1	2	36	0	5	3	0	1	0	11	15	25	378	468	81	75	Dolní malostranský obvod	2925
P01-202001	7	7	127159	D	0	0	4	0	0	0	0	0	0	3	0	2	0	3	93	0	1	60	7	Pod Letnou	0
P01-202001	6	3	305758	D	10	2	13	4	1	17	0	6	5	0	0	0	1	45	26	1	2	40	74	U Èelakovského sadù	38
P01-202001	1047	979	126993	N	31	7	6	1	2	27	0	6	2	0	1	1	8	19	34	466	651	72	66	Betlémský obvod	4100
P01-202001	400	389	127001	N	29	5	4	0	0	20	0	5	5	0	1	0	7	8	52	155	186	84	48	Josefov	1460
P01-202001	1166	1112	127019	N	34	8	6	0	1	28	0	6	3	0	0	1	10	16	33	571	749	76	67	Haštalský obvod	2685
P01-202001	366	341	127027	N	21	9	7	1	2	21	0	6	2	0	1	1	7	25	35	136	222	61	65	Jakubský obvod	2593
P01-202001	1069	998	127035	N	32	6	4	1	2	30	0	3	1	0	1	0	6	16	40	445	601	74	60	Petrský obvod	4234
P01-202001	44	44	127043	N	3	3	0	0	6	4	0	1	0	0	0	0	0	19	69	5	14	40	31	Masarykovo nádraží	76
P01-202001	1223	1163	127051	N	14	4	7	1	5	14	0	5	1	0	1	1	3	18	51	367	573	64	49	Jindøišský obvod	3035
P01-202001	18	14	127060	N	1	1	2	1	0	2	0	3	0	0	0	1	1	23	70	1	4	23	30	Smetanovo divadlo	0
P01-202001	1020	905	127078	N	37	11	8	1	4	38	0	5	1	0	1	1	11	21	19	549	735	75	81	Vodièkova	5060
P01-202001	548	510	127086	N	44	8	9	1	2	44	0	5	0	0	1	0	11	16	19	331	411	80	81	Vojtìšský obvod	2853
P01-202001	360	305	127094	N	49	10	7	2	1	41	0	7	2	0	1	2	14	12	19	209	247	85	81	Horní malostranský obvod	2006
P01-202001	23	21	127116	N	0	0	0	0	0	0	0	0	0	0	0	0	0	6	93	0	1	7	7	Strahovská zahrada	20
P01-202001	278	264	127124	N	23	5	3	5	1	23	0	3	1	0	0	2	7	5	57	100	113	88	43	Pohoøelec	747
P01-202001	93	91	127132	N	18	2	11	2	0	24	0	3	1	0	0	0	6	5	61	31	36	87	39	Hrad	138
P01-202001	709	621	127141	N	38	11	9	1	1	40	0	4	2	0	1	0	12	9	31	376	430	87	69	Dolní malostranský obvod	2925
P01-202001	7	7	127159	N	0	0	0	2	0	0	0	0	0	0	2	0	0	2	96	0	0	52	4	Pod Letnou	0
P01-202001	6	3	305758	N	4	0	8	0	0	8	0	0	1	0	0	0	3	29	58	0	1	30	42	U Èelakovského sadù	38
P01-202001	112	106	127019	X															100		0		0	Haštalský obvod	2685
P01-202001	46	46	127051	X	2	0	2	0	4	2	0	2	0	0	0	0	0	33	59	4	19	21	41	Jindøišský obvod	3035
P01-202001	18	14	127060	X	1	0	0	0	0	1	0	1	0	0	0	0	0	6	92	0	1	21	8	Smetanovo divadlo	0
P01-202001	7	7	127078	X															100		0		0	Vodièkova	5060
P01-202001	21	21	127086	X															100		0		0	Vojtìšský obvod	2853
P01-202001	28	28	127141	X	4	0	0	0	0	0	0	0	4	0	0	0	0	4	93	1	2	50	7	Dolní malostranský obvod	2925
P01-202001	146	129	126993	X15	7	5	2	0	3	8	0	1	1	0	0	0	4	31	51	23	63	36	49	Betlémský obvod	4100
P01-202001	29	28	127001	X15	0	4	0	0	7	0	0	0	4	0	0	0	0	0	89	3	3	100	11	Josefov	1460
P01-202001	197	187	127019	X15	3	0	1	0	2	2	0	1	1	0	0	0	0	16	79	10	39	25	21	Haštalský obvod	2685
P01-202001	76	65	127027	X15	5	0	1	0	0	3	0	2	2	0	0	0	0	23	71	4	19	20	29	Jakubský obvod	2593
P01-202001	348	310	127035	X15	14	1	2	0	1	14	0	2	1	0	0	1	1	13	68	59	100	59	32	Petrský obvod	4234
P01-202001	44	44	127043	X15	8	2	0	0	2	6	0	3	0	0	0	0	0	10	78	5	10	55	22	Masarykovo nádraží	76
P01-202001	529	520	127051	X15	6	2	3	1	2	6	0	3	0	0	0	0	2	11	76	69	124	56	24	Jindøišský obvod	3035
P01-202001	266	235	127078	X15	7	4	1	0	5	9	0	2	0	0	0	0	1	29	54	40	108	37	46	Vodièkova	5060
P01-202001	82	79	127086	X15	7	0	1	0	4	6	0	0	0	0	0	0	2	28	60	9	32	29	40	Vojtìšský obvod	2853
P01-202001	47	40	127094	X15	10	3	3	0	3	10	0	3	0	0	0	0	3	5	77	7	9	78	23	Horní malostranský obvod	2006
P01-202001	23	21	127116	X15	0	0	0	0	0	0	0	0	0	0	0	0	0	5	95	0	1	0	5	Strahovská zahrada	20
P01-202001	54	54	127124	X15	9	3	0	1	3	10	0	1	0	0	0	0	2	5	80	9	11	77	20	Pohoøelec	747
P01-202001	57	38	127141	X15	2	0	0	0	2	2	0	0	0	0	0	0	0	7	88	2	5	41	12	Dolní malostranský obvod	2925
P01-202001	0	0		X15																	0				
P01-202001	0	0		X67																	0				
