Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	TYPZONY	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P04-202001	P4-0101	D	60	58	2	16	5	2	2	2	22	0	0	0	0	0	0	1	14	60	15	23	65	40
P04-202001	P4-0102	D	3	3	2	1	0	0	1	2	2	0	0	0	0	0	0	0	33	9	2	3	64	91
P04-202001	P4-0103	D	9	9	2	13	2	7	11	11	24	0	2	0	0	0	0	7	35	21	4	7	56	79
P04-202001	P4-0104	D	16	16	2	0	0	14	18	19	24	0	3	0	0	1	0	4	24	26	8	12	68	74
P04-202001	P4-0105	D	11	7	2	57	0	0	0	14	29	0	4	0	0	0	0	25	21	7	5	7	77	93
P04-202001	P4-0106	D	47	47	2	1	0	3	4	6	7	0	0	0	0	0	0	0	26	60	7	19	35	40
P04-202001	P4-0108	D	7	7	1	12	0	0	14	0	12	0	0	0	0	0	0	14	5	69	2	2	85	31
P04-202001	P4-0110	D	8	8	1	6	13	3	0	0	14	0	3	0	0	0	0	5	11	66	2	3	67	34
P04-202001	P4-0111	D	7	7	1	0	0	1	0	0	1	0	0	0	0	0	0	0	68	31	0	5	2	69
P04-202001	P4-0113	D	25	25	2	9	17	3	14	7	31	0	7	0	0	0	0	5	20	31	12	17	72	69
P04-202001	P4-0115	D	12	12	1															100		0		0
P04-202001	P4-0117	D	6	6	2	0	0	4	1	1	3	0	1	0	0	0	0	1	8	85	0	1	45	15
P04-202001	P4-0120	D	62	61	1	4	0	3	5	0	7	0	3	0	0	0	0	3	9	79	8	13	59	21
P04-202001	P4-0121	D	7	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	14	86	0	1	0	14
P04-202001	P4-0122	D	33	27	2	2	4	6	1	9	9	0	2	0	0	0	0	2	18	60	6	11	55	40
P04-202001	P4-0123	D	163	162	2	0	0	2	1	3	2	0	0	0	0	0	0	0	2	92	10	14	71	8
P04-202001	P4-0126	D	47	47	1	38	7	3	1	0	42	0	0	0	0	0	0	8	9	42	23	27	84	58
P04-202001	P4-0128	D	15	11	1	66	14	3	14	0	56	0	5	0	0	0	0	36	19	0	11	13	84	121
P04-202001	P4-0129	D	13	12	1	28	8	2	6	0	37	0	3	0	0	0	0	4	19	38	5	7	70	62
