Season	SecCode	DYWIN	CELKEM_PS	PS_ZPS	RD_1	RD_2	RD_3	RD_4	R_VIS	RT_R	RT_V	RT_A	RT_P	RT_C	RT_E	RT_O	RT_S	NR	Free	Resp_abs	Obs_abs	Resp	Obs
P07Q201912	P7-0001	D	55	52	70	10	4	1	1	75	0	2	0	0	0	0	8	10	4	45	50	90	96
P07Q201912	P7-0002	D	26	26	23	19	7	0	16	44	0	1	0	0	0	0	4	20	15	17	22	76	85
P07Q201912	P7-0003	D	110	107	55	8	6	2	1	59	0	3	0	0	1	0	8	13	15	77	91	84	85
P07Q201912	P7-0004	D	58	58	69	7	6	1	0	66	0	0	0	0	0	0	16	11	7	48	54	89	93
P07Q201912	P7-0005	D	46	44	11	5	1	1	3	17	0	0	0	0	0	0	0	5	63	14	16	88	37
P07Q201912	P7-0006	D	27	26	56	13	12	2	1	57	0	3	0	0	0	1	22	7	8	22	24	92	92
P07Q201912	P7-0007	D	29	28	31	14	4	5	8	48	0	1	0	0	0	1	4	20	18	17	23	75	82
P07Q201912	P7-0008	D	62	61	58	12	8	2	0	66	1	1	0	0	1	0	11	6	14	49	52	93	86
P07Q201912	P7-0009	D	45	42	45	3	4	1	0	36	0	1	0	0	1	0	15	6	40	23	25	90	60
P07Q201912	P7-0010	D	4	4	23	2	11	0	0	25	0	0	0	0	0	0	11	8	57	1	2	82	43
P07Q201912	P7-0011	D	4	4	39	0	7	1	1	46	0	0	0	0	1	0	0	28	25	2	3	63	75
P07Q201912	P7-0012	D	35	32	69	15	9	2	0	78	0	1	0	0	0	0	17	11	0	31	34	90	107
P07Q201912	P7-0013	D	125	118	66	11	8	1	1	61	0	3	0	0	0	0	22	15	0	102	120	85	102
P07Q201912	P7-0014	D	20	20	61	9	7	1	0	64	0	2	0	0	0	0	10	11	1	18	20	89	99
P07Q201912	P7-0015	D	85	84	70	11	3	2	0	72	0	3	0	0	1	0	10	15	0	73	85	85	102
P07Q201912	P7-0016	D	3	3	3	8	4	8	26	17	0	1	0	0	0	0	4	29	23	1	2	63	77
P07Q201912	P7-0017	D	10	10	25	9	6	1	8	26	0	4	0	0	1	0	10	18	33	5	7	73	67
P07Q201912	P7-0018	D	93	92	67	9	5	1	0	62	0	2	0	0	1	0	17	10	7	76	85	89	93
P07Q201912	P7-0019	D	9	9	38	3	1	1	8	33	0	1	0	0	0	0	8	11	38	5	6	82	62
P07Q201912	P7-0020	D	35	35	51	12	3	1	9	54	0	1	0	0	0	0	11	13	11	26	31	85	89
P07Q201912	P7-0021	D	43	41	56	13	11	3	1	65	0	3	0	0	0	0	14	15	1	34	40	84	99
P07Q201912	P7-0022	D	75	75	71	11	5	1	0	69	1	2	0	0	1	0	14	6	6	66	71	93	94
P07Q201912	P7-0023	D	72	71	67	4	6	1	0	61	0	2	0	0	0	0	15	9	13	56	62	90	87
P07Q201912	P7-0024	D	140	134	38	10	5	0	0	42	1	1	0	0	1	0	10	9	35	75	87	86	65
P07Q201912	P7-0025	D	41	41	46	10	12	0	0	56	0	2	0	0	0	0	9	9	23	28	32	88	77
P07Q201912	P7-0026	D	41	40	28	34	9	0	0	61	1	2	0	0	0	0	7	12	17	28	33	85	83
P07Q201912	P7-0027	D	50	48	62	14	5	0	0	54	1	0	0	0	2	0	23	12	7	39	45	87	93
P07Q201912	P7-0028	D	7	7	74	14	4	0	0	70	1	1	0	0	2	0	20	32	0	7	9	75	125
P07Q201912	P7-0029	D	22	18	52	7	14	1	7	56	0	1	1	0	2	0	14	27	0	14	19	75	107
