Season	SecCode	Kc_PS	Kc_sum	Min_sum	Min_med	Min_avg	Kc_med	Kc_avg	Tr_cnt	PS_ZPS	TYPZONY	KOD_ZSJ
P00-202001	P1-0468	5255	1150793	1247516	60	93	60	86	13382	219	2	127051
P00-202001	P1-0505	5021	160656	171298	60	79	60	74	2180	32	2	127027
P00-202001	P1-0281	285	23053	17359	60	45	80	59	388	81	1	126993
P00-202001	P1-0601	6646	358863	383110	86	110	85	103	3483	54	2	127124
P00-202001	P1-0539	268	9388	7071	60	46	80	61	153	35	1	127027
P00-202001	P1-0462	5715	262894	290549	70	105	70	95	2758	46	2	127051
P00-202001	P1-0602	4864	155641	180268	60	85	60	74	2110	32	2	127035
P00-202001	P1-0220	9107	91073	99490	90	129	90	118	771	10	2	127019
P00-202001	P1-0308	13030	260608	281804	100	131	100	121	2159	20	2	126993
P00-202001	P1-0133	7253	290117	353367	80	132	80	108	2684	40	2	127094
P00-202001	P1-0249	7619	114286	136162	60	107	60	90	1275	15	2	127019
P00-202001	P1-0375	7118	583694	672071	70	109	64	94	6191	82	2	127078
P00-202001	P1-0486	7036	337734	413001	60	113	60	92	3660	48	2	127051
P00-202001	P1-0414	8050	56349	61165	70	102	70	94	599	7	2	127078
P00-202001	P1-0555	5995	437615	484872	70	113	70	102	4303	73	2	127035
P00-202001	P1-0443	298	6852	5176	60	52	80	69	99	23	1	127078
P00-202001	P1-0304	8594	240631	276322	80	124	75	108	2226	28	2	127001
P00-202001	P1-0416	343	1030	774	60	52	80	69	15	3	1	127078
P00-202001	P1-0411	4100	102508	122705	60	101	60	84	1217	25	2	127086
P00-202001	P1-0322	6915	76067	87970	70	116	70	100	760	11	2	126993
P00-202001	P1-0224	10787	194160	234318	75	129	72	107	1818	18	2	127019
P00-202001	P1-0191	268	4824	3777	60	48	80	61	79	18	1	127141
P00-202001	P1-0501	7138	378292	420044	68	102	63	92	4123	53	2	127051
P00-202001	P1-0591	4787	110107	119384	60	81	60	75	1473	23	2	127035
P00-202001	P1-0596	6688	294259	307364	60	84	60	80	3665	44	2	127043
P00-202001	P1-0219	8617	594550	617112	96	120	95	116	5131	69	2	127019
P00-202001	P1-0336	3719	115287	135755	70	111	65	94	1220	31	2	126993
P00-202001	P1-0581	5391	102424	118019	60	98	60	85	1201	19	2	127035
P00-202001	P1-0111	168	5200	3928	60	48	80	63	82	31	1	127124
P00-202001	P1-0499	7348	154318	164105	70	99	70	93	1661	21	2	127051
P00-202001	P1-0496	7408	474115	499732	70	100	70	94	5021	64	2	127051
P00-202001	P1-0218	8844	88435	89704	90	111	90	110	806	10	2	127019
P00-202001	P1-0342	5986	179593	213514	70	121	70	102	1766	30	2	126993
P00-202001	P1-0319	9729	301599	347395	71	112	70	98	3091	31	2	126993
P00-202001	P1-0143	103	820	615	30	38	40	51	16	8	1	127094
P00-202001	P1-0586	254	10905	8278	45	42	60	56	196	43	1	127035
P00-202001	P1-0565	3891	77815	92153	79	125	72	105	739	20	2	127035
P00-202001	P1-0479	123	2574	1931	60	44	80	58	44	21	1	127051
P00-202001	P1-0417	10965	87721	107663	61	116	60	95	926	8	2	127078
P00-202001	P1-0422	6514	299665	343085	60	103	60	90	3342	46	2	127078
P00-202001	P1-0540	2986	74659	101108	70	176	70	130	574	25	2	127027
P00-202001	P1-0277	326	59642	45043	45	42	60	56	1069	183	1	127001
P00-202001	P1-0488	4449	244707	318162	60	100	60	77	3168	55	2	127051
P00-202001	P1-0493	8807	123293	153377	60	112	60	90	1368	14	2	127051
P00-202001	P1-0310	461	26295	19802	60	51	80	68	386	57	1	126993
P00-202001	P1-0440	252	29541	22382	60	51	80	68	437	117	1	127078
P00-202001	P1-0360	9569	248791	278721	90	123	90	109	2274	26	2	126993
P00-202001	P1-0604	724	5791	4344	60	45	80	60	96	8	1	127078
P00-202001	P1-0445	7258	36291	39790	60	90	60	82	440	5	2	127078
P00-202001	P1-0223	247	13312	10113	60	47	80	62	214	54	1	127019
P00-202001	P1-0397	5854	122935	139852	60	106	60	94	1314	21	2	127086
P00-202001	P1-0207	6509	104137	112033	90	120	90	111	936	16	2	127141
P00-202001	P1-0545	7317	58539	65391	60	81	60	72	810	8	2	127027
P00-202001	P1-0259	253	27335	20512	60	50	80	66	412	108	1	127019
P00-202001	P1-0215	7827	148706	167422	100	143	96	127	1170	19	2	127141
P00-202001	P1-0217	7931	214128	221227	80	107	80	104	2059	27	2	127019
P00-202001	P1-0362	9530	285896	311863	80	116	80	106	2699	30	2	127086
P00-202001	P1-0575	6277	169470	189991	60	90	60	80	2106	27	2	127035
P00-202001	P1-0447	9899	683032	841970	60	112	60	91	7487	69	2	127078
P00-202001	P1-0606	279	16447	12418	60	52	80	69	237	59	1	127094
P00-202001	P1-0446	676	6762	5073	60	46	80	61	110	10	1	127078
P00-202001	P1-0241	213	10666	8087	45	44	60	58	184	50	1	127019
P00-202001	P1-0242	3470	131848	161870	70	120	70	98	1348	38	2	127019
P00-202001	P1-0523	347	22904	17234	60	51	80	68	337	66	1	127027
P00-202001	P1-0158	8360	25079	25931	70	83	61	80	312	3	2	127141
P00-202001	P1-0452	453	30361	23173	45	44	60	58	527	67	1	127051
P00-202001	P1-0498	5522	386562	432163	65	103	62	92	4212	70	2	127035
P00-202001	P1-0592	3656	127953	140161	60	90	60	82	1562	35	2	127035
P00-202001	P1-0401	253	7341	5597	60	48	80	63	117	29	1	127086
P00-202001	P1-0117	1996	41922	42425	70	76	70	75	558	21	2	127116
P00-202001	P1-0113	225	8780	6591	60	47	80	63	140	39	1	127124
P00-202001	P1-0160	77	2151	1614	60	45	80	60	36	28	1	127141
P00-202001	P1-0426	4705	37637	45321	60	95	60	79	476	8	2	127078
P00-202001	P1-0612	658	2633	1976	60	48	80	64	41	4	1	127078
P00-202001	P1-0148	307	6757	5071	60	46	80	61	111	22	1	127094
P00-202001	P1-0124	77	4702	3554	60	52	80	68	69	61	1	127094
P00-202001	P1-0159	282	6481	4862	60	53	80	70	92	23	1	127141
P00-202001	P1-0203	277	11374	8552	60	55	80	73	155	41	1	127141
P00-202001	P1-0110	196	1760	1320	60	51	80	68	26	9	1	127124
P00-202001	P1-0157	137	2184	1639	60	53	80	70	31	16	1	127141
P00-202001	P1-0355	243	15073	11599	60	48	80	62	244	62	1	126993
P00-202001	P1-0201	274	3840	2880	60	46	80	62	62	14	1	127141
P00-202001	P1-0481	109	3280	2498	60	49	80	64	51	30	1	127051
P00-202001	P1-0442	442	26506	19930	60	49	80	65	407	60	1	127078
P00-202001	P1-0608	6912	69124	79951	70	115	70	100	694	10	2	127078
P00-202001	P1-0535	270	21615	16317	60	49	80	66	330	80	1	126993
P00-202001	P1-0390	461	7831	5932	60	54	80	71	110	17	1	127086
P00-202001	P1-0614	1286	3858	4369	60	86	60	76	51	3	2	127086
P00-202001	P1-0450	267	11474	8634	45	42	60	56	205	43	1	127078
P00-202001	P1-0377	681	15663	11862	60	48	80	63	249	23	1	126993
P00-202001	P1-0196	259	8819	6632	60	48	80	64	138	34	1	127141
P00-202001	P1-0283	187	12162	9228	60	47	80	62	195	65	1	126993
P00-202001	P1-0271	439	18893	14195	60	50	80	66	286	43	1	127019
P00-202001	P1-0234	414	19445	14603	60	50	80	67	291	47	1	127019
P00-202001	P1-0502	939	15961	12426	60	47	80	61	262	17	1	127051
P00-202001	P1-0425	385	23511	17818	60	48	80	64	370	61	1	127078
P00-202001	P1-0195	161	2898	2175	60	47	80	63	46	18	1	127141
P00-202001	P1-0391	210	5447	4108	60	49	80	65	84	26	1	127086
P00-202001	P1-0150	371	11500	8719	60	50	80	66	174	31	1	127094
P00-202001	P1-0472	188	7335	5545	45	43	60	57	128	39	1	127051
P00-202001	P1-0119	426	15778	11949	60	50	80	66	238	37	1	127132
P00-202001	P1-0532	164	6557	5153	60	51	80	64	102	40	1	127027
P00-202001	P1-0323	233	6302	4819	60	50	80	65	97	27	1	126993
P00-202001	P1-0303	225	10116	7674	60	47	80	62	163	45	1	127001
P00-202001	P1-0211	100	4420	3409	60	53	80	69	64	44	1	127141
P00-202001	P1-0116	209	1460	1095	60	55	80	73	20	7	1	127124
P00-202001	P1-0240	310	7749	5949	60	48	80	63	123	25	1	127019
P00-202001	P1-0244	154	13675	10406	60	48	80	62	219	89	1	127019
P00-202001	P1-0168	155	777	584	60	49	80	65	12	5	1	127141
P00-202001	P1-0108	41	1300	975	60	49	80	65	20	32	1	127124
P00-202001	P1-0250	350	10836	8176	60	47	80	62	174	31	1	127019
P00-202001	P1-0231	249	15664	11795	60	47	80	63	250	63	1	127019
P00-202001	P1-0235	361	10119	7602	60	48	80	64	159	28	1	127019
