CODE	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
21766487	5	0	0	0	0	0	0	3	8
21714746	0	2	31	6	1270	634	1186	62	15111
21727058	5	0	0	0	0	0	0	1	6
21737690	6	0	1	0	0	0	0	0	7
22089217	31	0	1	0	0	0	1	19	52
21776709	7	0	0	0	0	0	0	0	7
22699295	3	0	0	0	0	0	0	2	5
21912572	14	0	0	0	0	0	0	4	18
21754900	8	0	0	0	0	0	0	4	12
21914176	10	0	0	0	0	0	0	7	17
21783802	17	0	0	0	0	0	0	1	18
21785686	5	0	0	0	0	0	0	2	7
22021558	5	0	0	0	0	0	0	2	7
22369252	11	0	0	0	0	0	2	6	19
22193863	1	0	0	0	0	0	0	0	1
21798796	6	1	0	0	0	0	0	0	7
21715700	0	0	1	3	0	0	0	25	29
21794634	5	0	0	0	0	0	0	2	7
22091670	0	0	0	0	0	0	0	2	2
22311386	6	0	0	0	0	0	0	3	9
21755311	7	0	0	0	0	0	0	1	8
21954313	8	0	0	0	0	0	0	1	9
21745382	0	0	7	4	0	0	0	0	11
22367241	7	0	0	0	0	0	0	1	8
22361057	2	0	0	0	0	0	0	0	2
21737207	13	0	0	0	0	0	0	1	14
22188134	9	1	1	0	0	0	0	0	11
22308571	3	0	0	0	0	0	0	3	6
21869251	9	0	1	0	0	0	0	3	13
21763208	6	0	0	0	0	0	0	6	12
21953651	6	0	0	0	0	0	0	4	10
21768706	3	0	0	0	0	0	0	3	6
25762974	1	0	0	0	0	0	0	0	1
22076689	0	0	1	0	0	0	0	0	1
21779147	7	0	1	0	0	0	0	0	8
21777926	9	0	0	0	0	0	0	2	11
22169491	9	0	1	0	0	0	0	2	12
22303979	3	0	3	0	0	0	0	0	6
21727431	6	0	2	0	0	0	0	1	9
21785503	8	1	0	0	0	0	0	1	10
22293507	6	0	0	0	0	0	0	0	6
22391738	10	0	0	0	0	0	0	9	19
22267565	3	0	0	0	0	0	0	0	3
21946078	5	0	0	0	0	0	0	1	6
22397833	12	1	0	0	0	0	0	3	16
22183809	2	0	0	0	0	0	0	0	2
22027220	13	0	2	0	0	0	0	4	19
22162712	2	0	0	0	0	0	0	0	2
28480911	3	0	0	0	0	0	0	0	3
21727244	0	0	1	8	0	0	0	0	9
