KOD	NAZ_ZSJ	SHAPE_Area	Obyv_total	CELKEM_PS	PS_ZPS	TYPZONY	RES_PS	MIX_PS	VIS_PS	OTH_PS	RES_PS_ZPS	MIX_PS_ZPS	VIS_PS_ZPS	OTH_PS_ZPS	PS_ZPS_RATIO
130095	Dejvická	163431.29653	3708	972	907	3	478	488	0	6	446	461	0	0	5
129046	Pod zahradou Kinských	142229.050223	1237	369	326	6	8	349	12	0	5	309	12	0	4
129054	Arbesovo náměstí	276168.967658	3867	1358	1177	6	288	992	32	46	260	888	29	0	4
129062	Na bělidle	123343.818249	2788	538	480	6	218	257	35	28	204	248	28	0	6
130061	Císařský ostrov I	764282.008123	208	126	120	3	23	103	0	0	22	98	0	0	2
130087	Náměstí Svobody	339370.994357	8660	2542	1792	11	809	1109	5	619	754	1033	5	0	5
129071	Smíchovský pivovar	69005.4624085	93	124	122	3	31	92	0	1	31	91	0	0	1
129089	U železničního mostu	150520.378286	1227	221	203	3	126	95	0	0	113	90	0	0	7
129160	Barrandov-ateliéry	484282.546755	8	10	10	2	0	10	0	0	0	10	0	0	1
127027	Jakubský obvod	282770.266665	2593	575	522	3	506	55	0	14	475	47	0	0	5
127094	Horní malostranský obvod	336786.336542	2006	408	281	3	285	47	0	76	241	40	0	0	8
127728	Pankrác II	308844.908506	3984	889	829	3	501	381	0	7	466	363	0	0	5
127736	Na Veselí	269435.364538	5223	940	865	7	638	265	0	37	606	259	0	0	7
127744	Reitknechtka	147084.836966	8	37	35	3	8	29	0	0	6	29	0	0	1
130630	Kobylisy-u hvězdárny	98833.8048573	390	42	42	1	42	0	0	0	42	0	0	0	10
130648	Ďáblice-u hřbitova	100149.715985	675	198	197	3	162	36	0	0	161	36	0	0	4
127752	Baarova	533688.840902	3473	950	903	3	547	394	0	9	515	388	0	0	4
127761	Kačerov	572247.293574	4639	137	124	3	103	32	0	2	93	31	0	0	38
128937	Motol-západ	1117012.81429	77	124	118	3	0	0	124	0	0	0	118	0	1
128945	Motolská nemocnice	604753.368979	608	302	281	3	93	202	0	7	89	192	0	0	3
128953	Homolka	308837.724799	3046	859	833	3	677	182	0	0	658	175	0	0	4
128961	Pod Kotlářkou	77600.0148242	2	36	36	2	0	36	0	0	0	36	0	0	1
128970	Kotlářka	248729.056502	877	138	135	1	138	0	0	0	135	0	0	0	7
130656	Slovanka	606725.198775	2645	534	519	3	410	118	0	6	403	116	0	0	6
130672	Nad Mazankou	337117.133902	1844	357	353	3	275	80	0	2	274	79	0	0	6
130699	Dolní Kobylisy	418429.792681	2843	674	614	6	354	275	22	23	341	254	19	0	5
128694	Smíchov-jižní Radlická	194981.331575	2252	490	475	3	239	251	0	0	239	236	0	0	5
127370	Vrch Svatého kříže	389431.5125	827	429	414	3	128	299	0	2	125	289	0	0	2
127388	Havlíčkovo náměstí	136121.459397	2698	873	505	8	392	155	0	326	354	151	0	0	6
127400	Vrch Žižkov	549094.353137	10	75	72	3	32	43	0	0	30	42	0	0	1
127418	Pod Pražačkou	274793.871886	6263	1233	1155	3	953	255	0	25	907	248	0	0	6
127426	Na Krejcárku	463756.481496	3033	884	848	3	594	289	0	1	579	269	0	0	4
130893	Horní Libeň-Na Báni	612684.143101	3107	112	106	3	73	39	0	0	69	37	0	0	30
130907	Stará Libeň	377453.407333	3946	1000	964	3	476	515	0	9	464	500	0	0	5
130702	Nad Rokoskou	633199.251043	2808	267	265	3	233	34	0	0	231	34	0	0	11
130729	Na Dlážděnce	315284.353921	459	7	7	1	7	0	0	0	7	0	0	0	66
130737	Šutka	612811.19049	1997	323	315	3	290	32	0	1	284	31	0	0	7
127116	Strahovská zahrada	271181.500244	20	22	22	2	0	22	0	0	0	22	0	0	1
127124	Pohořelec	285124.57669	747	437	261	3	228	51	0	158	210	51	0	0	3
127434	Na Balkáně	365880.753039	6	150	144	3	40	110	0	0	38	106	0	0	1
127132	Hrad	493020.96026	138	103	91	1	93	0	0	10	91	0	0	0	2
127141	Dolní malostranský obvod	634049.379546	2925	844	648	3	685	57	0	102	610	38	0	0	5
130842	Ďáblický hřbitov	296618.100238	6	10	9	2	0	9	0	1	0	9	0	0	1
130915	Na Palmovce	326558.967154	3554	652	617	6	283	338	28	3	271	318	28	0	6
130940	Za Invalidovnou	327328.002881	2234	564	546	3	326	238	0	0	314	232	0	0	5
130958	Karlín-východ	430554.147892	4501	1413	1329	3	669	709	0	35	646	683	0	0	4
127035	Petrský obvod	459383.444814	4234	1014	937	3	673	322	0	19	646	291	0	0	5
127043	Masarykovo nádraží	53103.5240299	76	107	90	3	42	60	0	5	38	52	0	0	1
127051	Jindřišský obvod	503148.242694	3035	1252	1151	3	686	535	0	31	634	517	0	0	3
127060	Smetanovo divadlo	20731.9751509	0	44	35	3	18	26	0	0	14	21	0	0	0
127621	Na Zelené lišce	304322.828949	3646	1336	1295	3	637	697	0	2	628	667	0	0	3
127639	Pankrác-průmyslový obvod	60977.3617688	41	31	31	3	24	7	0	0	24	7	0	0	2
127647	Michelská	408333.354105	5104	1616	1523	3	716	896	0	4	670	853	0	0	4
127949	U soudu	168841.220299	575	262	214	7	66	159	0	37	63	151	0	0	3
128171	Fidlovačka	237349.019015	1968	633	586	3	260	366	0	7	244	342	0	0	4
128180	U Fidlovačky-východ	11673.9762413	2	38	38	2	0	38	0	0	0	38	0	0	1
128198	Nuselský obvod	237229.991059	5276	1394	1334	6	700	674	16	4	675	648	11	0	4
128643	Staré Radlice	530968.014784	1296	80	78	3	14	66	0	0	14	64	0	0	17
127540	Náměstí Jiřího z Poděbrad	167062.070887	4037	914	870	3	656	254	0	4	627	243	0	0	5
127558	Škroupovo náměstí	149293.40295	4032	729	699	3	574	155	0	0	545	154	0	0	6
127566	Sladkovského náměstí	179648.898667	5591	1012	974	3	899	113	0	0	871	103	0	0	6
127574	U Rajské zahrady	140661.661533	50	264	261	3	77	187	0	0	77	184	0	0	1
127230	Riegrovy sady	153656.869882	0	240	232	3	53	187	0	0	53	179	0	0	0
127248	U Riegrových sadů	136717.697245	4509	860	841	3	818	39	0	3	804	37	0	0	6
127256	U Čechových sadů	243859.176995	4971	1349	1311	3	792	556	0	1	770	541	0	0	4
127710	Pankrác I-západ	119222.782917	1622	435	405	3	256	179	0	0	244	161	0	0	5
127957	U Jezerky	265351.560033	4165	985	907	10	460	471	18	36	443	448	16	0	5
127965	Tyršův vrch	734517.903073	3791	637	603	3	444	192	0	1	433	170	0	0	7
127299	Nuselské údolí	210257.408269	4269	929	903	3	445	482	0	2	436	467	0	0	5
127302	Vyšehrad	362586.312294	2134	527	493	3	249	264	0	14	241	252	0	0	5
127311	Podskalí	300138.879773	2838	812	768	3	497	308	0	7	484	284	0	0	4
127329	Zderaz	214161.266849	3395	784	730	3	526	237	0	21	504	226	0	0	5
127906	Děkanka	316501.997814	31	266	250	3	91	169	0	6	85	165	0	0	1
127582	Kostnické náměstí	212436.994064	4684	848	820	3	508	334	0	6	492	328	0	0	6
126993	Betlémský obvod	615832.643677	4100	1072	913	3	769	217	0	86	726	187	0	0	5
127001	Josefov	88161.4714703	1460	510	496	3	473	35	0	2	462	34	0	0	3
127019	Haštalský obvod	391663.264598	2685	1084	956	3	824	184	0	76	780	176	0	0	3
127698	Horní Jeremenkova	302144.558588	2216	26	23	1	26	0	0	0	23	0	0	0	97
127701	Pankrác I-východ	171221.688623	2033	639	605	3	565	66	0	8	539	66	0	0	4
128147	Veslařský ostrov-Plavecký stadion	671481.156703	23	272	266	2	0	272	0	0	0	266	0	0	1
128155	Staré Podolí	343184.904978	4595	1179	1105	7	720	449	0	10	679	426	0	0	5
128163	Pankrácké předmostí	217695.759711	2210	639	551	10	88	457	34	60	80	437	34	0	5
128678	Na Černém vrchu	423861.869608	1863	104	101	1	104	0	0	0	101	0	0	0	19
128686	Malvazinka	581389.030092	2517	871	841	3	681	188	0	2	662	179	0	0	3
127078	Vodičkova	409730.315541	5060	1007	856	3	767	205	0	35	674	182	0	0	6
127086	Vojtěšský obvod	303931.572451	2853	568	516	3	456	91	0	21	431	85	0	0	6
127337	Na Ohradě	167481.698233	5612	768	742	3	554	214	0	0	534	208	0	0	8
127345	Vápenka	115226.323666	2267	524	508	3	249	275	0	0	245	263	0	0	5
127591	Horní Krč	712639.469153	2560	711	584	8	400	211	0	100	379	205	0	0	5
127612	Antala Staška	325997.591423	3784	575	536	3	310	257	0	8	294	242	0	0	8
127264	Havlíčkovy sady	153888.247219	14	38	37	1	38	0	0	0	37	0	0	0	1
127272	Na Kleovce	322790.853624	4633	965	924	3	820	140	0	5	790	134	0	0	6
127281	Folimanka-východ	76953.3731447	2071	341	335	1	341	0	0	0	335	0	0	0	7
127914	Kavčí hory	132593.449531	0	20	18	1	18	0	0	2	18	0	0	0	0
127922	Na Kavčích horách	401894.992095	2288	882	856	3	717	161	0	4	697	159	0	0	3
127931	Na Pankráci	417983.595669	5180	1218	1130	10	328	830	43	17	307	784	39	0	5
127353	Židovské pece	240729.473999	1625	381	367	3	257	124	0	0	251	116	0	0	5
127361	Nákladové nádraží	351340.610915	19	83	81	3	5	78	0	0	5	76	0	0	1
128805	Smíchov-průmyslový obvod	106769.440998	156	64	57	5	0	39	23	2	0	37	20	0	3
128813	Na Skalce	272964.734788	4212	956	892	3	369	578	0	9	345	547	0	0	5
128821	Smíchovské nádraží	615157.105713	271	202	189	3	52	150	0	0	50	139	0	0	2
129631	Malý Břevnov	554567.143716	1603	14	14	2	0	14	0	0	0	14	0	0	115
130079	Nový Bubeneč	547868.250726	4933	1499	1408	3	749	734	0	16	719	689	0	0	4
127442	Chmelnice	204038.562753	3093	631	598	3	379	248	0	4	362	236	0	0	6
127451	Jarov	329166.475326	3619	691	667	3	542	147	0	2	527	140	0	0	6
127469	Vackov	187037.45795	2456	607	591	3	474	133	0	0	461	130	0	0	5
127485	U Třebešína	127365.453622	0	40	38	2	0	40	0	0	0	38	0	0	0
127493	Olšanské hřbitovy	680778.880878	96	189	183	2	0	189	0	0	0	183	0	0	1
127507	Stromky	200449.557715	2993	595	563	3	512	80	0	3	483	80	0	0	6
127515	Flora	154335.860825	4799	917	885	3	669	244	0	4	647	238	0	0	6
127523	Řipská	131920.056684	4059	637	605	3	412	220	0	5	397	208	0	0	7
129780	Horní Liboc	422741.493272	1966	5	5	1	5	0	0	0	5	0	0	0	394
127531	U Olšan	181310.464062	6177	1104	1056	3	1002	99	0	3	964	92	0	0	6
129003	Klamovka	839199.174423	4212	375	352	3	319	49	0	7	309	43	0	0	12
129011	Na Hřebenkách	535838.613335	2059	374	365	1	374	0	0	0	365	0	0	0	6
