Season	TARIFPA	CODE	KOD_ZSJ	STREETNAME	Price	Trans	dff	Mths	age	Tr_MONTH	Tr_DAY
P00-201912	6	22000004	173428	FRANTIäKA DIVIäE	4732	351	72160	3	23	117	4
P00-201912	6	22000002	173428	NOV… N¡MÃSTÕ	63299	4860	1111016	3	23	1620	54
P00-201912	6	22000001	173428	NOV… N¡MÃSTÕ	43536	3541	526701	3	23	1181	40
P00-201912	7	16000001	324868	SÕDLIäTÃ	73338	5739	739923	3	23	1913	64
P00-201912	32	13000002	316440	PETRéÕLKOVA	64988	13871	2541680	3	23	4624	155
P00-201912	33	13000001	305863	PETRéÕLKOVA	37670	5731	749086	3	23	1911	64
P00-201912	11	8000114	130478	STÿELNI»N¡	9816	400	109163	3	28	134	5
P00-201912	11	8000113	130478	KLAPKOVA	12229	414	108371	3	28	138	5
P00-201912	11	8000112	130478	KLECANSK¡	8921	338	91472	3	28	113	4
P00-201912	11	8000111	306363	»UMPELÕKOVA	5183	144	84893	3	28	48	2
P00-201912	11	8000110	306380	äIMŸNKOVA	61266	1704	736978	3	28	568	19
P00-201912	11	8000109	306380	KUBÕKOVA	20166	577	339376	3	28	193	7
P00-201912	11	8000108	130648	œ¡BLICK¡	17590	823	222716	3	28	275	10
P00-201912	11	8000107	130842	œ¡BLICK¡	9441	445	192440	3	28	149	5
P00-201912	11	8000106	130851	œ¡BLICK¡	15144	394	199414	3	28	132	5
P00-201912	11	8000105	130851	œ¡BLICK¡	14852	417	242137	3	28	139	5
P00-201912	11	8000103	130656	BEDÿICHOVSK¡	17764	357	193047	3	39	119	4
P00-201912	11	8000101	130672	U SLOVANKY	24747	591	227539	3	39	197	7
P00-201912	11	8000100	306371	FR›DLANTSK¡	66504	1964	922912	3	39	655	22
P00-201912	11	8000099	306371	DAVÕDKOVA	68885	1788	738539	3	39	596	20
P00-201912	11	8000098	130443	KYSELOVA	76858	2552	896078	3	39	851	29
P00-201912	11	8000097	130443	KYSELOVA	94400	3344	920574	3	39	1115	38
P00-201912	11	8000096	130443	HLAV¡»OVA	53874	1695	486194	3	39	565	19
P00-201912	11	8000095	306363	FAMFULÕKOVA	31717	785	450537	3	39	262	9
P00-201912	11	8000094	306363	»UMPELÕKOVA	18316	508	225300	3	39	170	6
P00-201912	11	8000093	130443	»UMPELÕKOVA	68194	2545	474933	3	39	849	29
P00-201912	11	8000092	130699	U äKOLSK… ZAHRADY	61593	1650	361908	3	39	550	19
P00-201912	11	8000091	130699	NAD KOUPALIäTÃM	43931	1261	379497	3	39	421	15
P00-201912	11	8000090	130699	TROJSK¡	44822	919	460097	3	39	307	11
P00-201912	11	8000089	130699	NA PÃäIN¡CH	29782	702	149887	3	39	234	8
P00-201912	22	8000088	130699	KE KOUPALIäTI	31877	1067	173169	3	39	356	12
P00-201912	11	8000087	130699	KE STÕRCE	49624	1789	502947	3	39	597	20
P00-201912	11	8000086	130699	KOBYLISK… N¡M.	76016	1967	952083	3	39	656	22
P00-201912	11	8000085	130508	VRäNÕ	96494	2766	789438	3	39	922	31
P00-201912	11	8000084	130478	BÿEZINÃVESK¡	100276	2366	960691	3	39	789	27
P00-201912	11	8000083	130478	BOÿANOVICK¡	42020	1203	390531	3	39	401	14
P00-201912	11	8000082	130478	LÕBEZNICK¡	36887	984	308956	3	39	328	11
P00-201912	11	8000081	130508	PÿEMYäLENSK¡	57720	2543	670606	3	39	848	29
P00-201912	11	8000080	130508	TROUSILOVA	21439	695	252829	3	39	232	8
P00-201912	25	8000064	130940	SOKOLOVSK¡	26757	607	106623	3	39	203	7
P00-201912	12	8000063	130893	POVLTAVSK¡	17220	469	112004	3	39	157	6
P00-201912	12	8000062	130907	PIVOVARNICK¡	48719	1364	527286	3	39	455	16
P00-201912	12	8000061	131008	U METEORU	52543	2160	237120	3	39	720	24
P00-201912	25	8000059	130915	SOKOLOVSK¡	35124	773	227241	3	39	258	9
P00-201912	25	8000058	130915	VACÕNOVA	18169	384	85683	3	39	128	5
P00-201912	25	8000057	130915	SOKOLOVSK¡	29734	708	226450	3	39	236	8
P00-201912	23	8000056	130915	SOKOLOVSK¡	51587	1794	350903	3	39	598	20
P00-201912	25	8000055	130915	SOKOLOVSK¡	17321	369	108020	3	39	123	5
P00-201912	25	8000054	130915	NOV¡KOV›CH	59265	1302	453370	3	39	434	15
P00-201912	25	8000053	130915	NOV¡KOV›CH	39474	790	199029	3	39	264	9
P00-201912	25	8000052	130915	NA éERTV¡CH	65759	1181	322302	3	39	394	14
P00-201912	25	8000051	130907	KOTLASKA	66203	1267	326702	3	39	423	15
P00-201912	25	8000050	130907	NA HR¡ZI	50022	1160	345125	3	39	387	13
P00-201912	25	8000049	130907	LUDMILINA	38388	709	186245	3	39	237	8
P00-201912	25	8000048	130907	ZENKLOVA	17635	476	112730	3	39	159	6
P00-201912	12	8000046	130907	N¡M. DR. V¡CLAVA HOL…HO	59335	1665	414818	3	39	555	19
P00-201912	25	8000045	130907	ZENKLOVA	48533	1089	320987	3	39	363	13
P00-201912	12	8000044	130907	KOéELUéSK¡	54672	1237	359161	3	39	413	14
P00-201912	3	8000043	130907	VOCT¡ÿOVA	54984	1318	1341280	3	39	440	15
P00-201912	3	8000042	316997	LIBE“SK› MOST	25334	714	597166	3	39	238	8
P00-201912	25	8000041	130915	SOKOLOVSK¡	9583	194	52733	3	39	65	3
P00-201912	23	8000040	316997	SOKOLOVSK¡	13752	410	78730	3	39	137	5
P00-201912	3	8000039	316989	U RUSTONKY	34099	1000	807270	3	39	334	12
P00-201912	25	8000038	130940	SOKOLOVSK¡	22481	393	84824	3	39	131	5
P00-201912	3	8000037	130940	U SLUNCOV…	68196	2157	1456428	3	39	719	24
P00-201912	3	8000036	130940	U SLUNCOV…	73325	1867	1812812	3	39	623	21
P00-201912	12	8000035	130958	MOL¡KOVA	88577	2088	652468	3	39	696	24
P00-201912	12	8000034	130958	ZA INVALIDOVNOU	184953	4100	947825	3	39	1367	46
P00-201912	16	8000033	130958	PERNEROVA	102110	1803	461761	3	39	601	21
P00-201912	16	8000032	130958	KÿIéÕKOVA	122875	2306	579979	3	39	769	26
P00-201912	12	8000031	130958	URXOVA	89706	1963	907373	3	39	655	22
P00-201912	29	8000029	130958	KÿIéÕKOVA	218928	4058	832683	3	39	1353	46
P00-201912	25	8000028	130958	SOKOLOVSK¡	35242	719	271340	3	39	240	8
